SequenceLength,SequentialTime(ms),ParallelTime(ms),NumThreads
10,0,0,2
10,0,0,3
10,0,0,4
10,0,0,6
10,0,0,6
10,0,0,8
10,0,0,8
10,0,0,9
10,0,0,12
11,0,0,2
11,0,0,3
11,0,0,4
11,0,0,6
11,0,0,6
11,0,0,8
11,0,0,8
11,0,0,9
11,0,0,12
12,0,0,2
12,0,0,3
12,0,0,4
12,0,0,6
12,0,0,6
12,0,0,8
12,0,0,8
12,0,0,9
12,0,0,12
13,0,0,2
13,0,0,3
13,0,0,4
13,0,0,6
13,0,0,6
13,0,0,8
13,0,0,8
13,0,0,9
13,0,0,12
14,0,0,2
14,0,0,3
14,0,0,4
14,0,0,6
14,0,0,6
14,0,0,8
14,0,0,8
14,0,0,9
14,0,0,12
15,0,0,2
15,0,0,3
15,0,0,4
15,0,0,6
15,0,0,6
15,0,0,8
15,0,1,8
15,0,1,9
15,0,0,12
16,0,0,2
16,0,0,3
16,0,0,4
16,0,0,6
16,0,1,6
16,0,0,8
16,0,0,8
16,0,0,9
16,0,0,12
17,0,0,2
17,0,0,3
17,0,0,4
17,0,2,6
17,0,1,6
17,0,0,8
17,0,0,8
17,0,0,9
17,0,0,12
18,0,0,2
18,0,0,3
18,0,0,4
18,0,0,6
18,0,0,6
18,0,0,8
18,0,0,8
18,0,0,9
18,0,0,12
19,0,0,2
19,0,0,3
19,0,1,4
19,0,0,6
19,0,0,6
19,0,0,8
19,0,0,8
19,0,0,9
19,0,0,12
20,0,0,2
20,0,0,3
20,0,0,4
20,0,0,6
20,0,0,6
20,0,0,8
20,0,0,8
20,0,0,9
20,0,0,12
21,0,1,2
21,0,0,3
21,0,0,4
21,0,0,6
21,0,0,6
21,0,0,8
21,0,0,8
21,0,0,9
21,0,0,12
22,0,0,2
22,0,0,3
22,0,2,4
22,0,0,6
22,0,0,6
22,0,0,8
22,0,0,8
22,0,0,9
22,0,0,12
23,0,0,2
23,0,0,3
23,0,0,4
23,0,0,6
23,0,0,6
23,0,0,8
23,0,0,8
23,0,0,9
23,0,0,12
24,0,0,2
24,0,2,3
24,0,1,4
24,0,0,6
24,0,0,6
24,0,1,8
24,0,0,8
24,0,0,9
24,0,1,12
25,0,0,2
25,0,0,3
