SequenceLength,SequentialTime(ms),ParallelTime(ms),NumThreads
10,0,1,2
10,0,0,3
10,0,0,4
10,0,0,6
10,0,4,6
10,0,2,8
11,0,0,2
11,0,0,3
11,0,0,4
11,0,1,6
11,0,0,6
11,0,0,8
12,0,0,2
12,0,0,3
12,0,0,4
12,0,0,6
12,0,0,6
12,0,0,8
13,0,0,2
13,0,0,3
13,0,0,4
13,0,0,6
13,0,0,6
13,0,1,8
14,0,0,2
14,0,0,3
14,0,0,4
14,0,0,6
14,0,0,6
14,0,0,8
15,0,0,2
15,0,0,3
15,0,0,4
15,0,0,6
15,0,0,6
15,0,1,8
16,0,0,2
16,0,0,3
16,0,0,4
16,0,0,6
16,0,0,6
16,0,0,8
17,0,0,2
17,0,0,3
17,0,0,4
17,0,0,6
17,0,1,6
17,0,1,8
18,0,0,2
18,0,0,3
18,0,0,4
18,0,0,6
18,0,0,6
18,0,0,8
19,0,0,2
19,0,0,3
19,0,0,4
19,0,0,6
19,0,4,6
19,0,0,8
20,0,0,2
20,0,0,3
20,0,0,4
20,0,0,6
20,0,0,6
20,0,0,8
21,0,0,2
21,0,0,3
21,0,0,4
21,0,0,6
21,0,0,6
21,0,0,8
22,0,0,2
22,0,0,3
22,0,0,4
22,0,0,6
22,0,0,6
22,0,0,8
23,0,0,2
23,0,0,3
23,0,0,4
23,0,0,6
23,0,0,6
23,0,0,8
24,0,0,2
24,0,0,3
24,0,0,4
24,0,0,6
24,0,0,6
24,0,0,8
25,0,1,2
25,0,0,3
25,0,0,4
25,0,0,6
25,0,0,6
25,0,0,8
26,0,0,2
26,0,0,3
26,0,0,4
26,0,0,6
26,0,0,6
26,0,0,8
27,0,0,2
27,0,0,3
27,0,0,4
27,0,0,6
27,0,0,6
27,0,0,8
28,0,0,2
28,0,0,3
28,0,0,4
28,0,0,6
28,0,0,6
28,0,0,8
29,0,0,2
29,0,0,3
29,0,0,4
29,0,0,6
29,0,0,6
29,0,0,8
30,0,0,2
30,0,0,3
30,0,0,4
30,0,0,6
30,0,0,6
30,0,0,8
31,0,0,2
31,0,0,3
31,0,0,4
31,0,0,6
31,0,0,6
31,0,0,8
32,0,0,2
32,0,0,3
32,0,0,4
32,0,0,6
32,0,0,6
32,0,1,8
33,0,0,2
33,0,0,3
33,0,0,4
33,0,0,6
33,0,0,6
33,0,0,8
34,0,0,2
34,0,0,3
34,0,0,4
34,0,0,6
34,0,0,6
34,0,0,8
35,0,0,2
35,0,0,3
35,0,0,4
35,0,0,6
35,0,0,6
35,0,0,8
36,0,0,2
36,0,0,3
36,0,0,4
36,0,0,6
36,0,0,6
36,0,0,8
37,0,0,2
37,0,3,3
37,0,0,4
37,0,1,6
37,0,1,6
37,0,1,8
38,50,0,2
38,50,0,3
38,50,0,4
38,50,0,6
38,50,0,6
38,50,0,8
39,0,0,2
39,0,0,3
39,0,1,4
39,0,1,6
39,0,0,6
39,0,2,8
40,0,0,2
40,0,0,3
40,0,0,4
40,0,0,6
40,0,0,6
40,0,0,8
41,0,0,2
41,0,0,3
41,0,0,4
41,0,0,6
41,0,0,6
41,0,0,8
42,0,0,2
42,0,0,3
42,0,0,4
42,0,0,6
42,0,0,6
42,0,1,8
43,1,2,2
43,1,0,3
43,1,0,4
43,1,0,6
43,1,0,6
43,1,0,8
44,0,0,2
44,0,0,3
44,0,0,4
44,0,0,6
44,0,1,6
44,0,0,8
45,0,0,2
45,0,2,3
45,0,2,4
45,0,0,6
45,0,1,6
45,0,0,8
46,0,0,2
46,0,0,3
46,0,0,4
46,0,0,6
46,0,0,6
46,0,0,8
47,0,0,2
47,0,0,3
47,0,0,4
47,0,0,6
47,0,0,6
47,0,1,8
48,0,1,2
48,0,0,3
48,0,0,4
48,0,0,6
48,0,0,6
48,0,1,8
49,0,0,2
49,0,1,3
49,0,0,4
49,0,0,6
49,0,0,6
49,0,0,8
50,0,0,2
50,0,0,3
50,0,0,4
50,0,0,6
50,0,1,6
50,0,1,8
51,0,0,2
51,0,0,3
51,0,1,4
51,0,0,6
51,0,0,6
51,0,0,8
52,0,0,2
52,0,0,3
52,0,0,4
52,0,1,6
52,0,0,6
52,0,0,8
53,0,9,2
53,0,0,3
53,0,1,4
53,0,0,6
53,0,0,6
53,0,2,8
54,0,0,2
54,0,7,3
54,0,1,4
54,0,0,6
54,0,0,6
54,0,0,8
55,1,0,2
55,1,0,3
55,1,0,4
55,1,0,6
55,1,2,6
55,1,2,8
56,0,0,2
56,0,0,3
56,0,0,4
56,0,0,6
56,0,0,6
56,0,0,8
57,0,1,2
57,0,0,3
57,0,0,4
57,0,0,6
57,0,1,6
57,0,0,8
58,0,0,2
58,0,1,3
58,0,1,4
58,0,1,6
58,0,0,6
58,0,0,8
59,0,0,2
59,0,0,3
59,0,0,4
59,0,0,6
59,0,0,6
59,0,0,8
60,0,0,2
60,0,0,3
60,0,0,4
60,0,0,6
60,0,0,6
60,0,0,8
61,0,0,2
61,0,1,3
61,0,0,4
61,0,2,6
61,0,0,6
61,0,0,8
62,0,0,2
62,0,1,3
62,0,0,4
62,0,0,6
62,0,0,6
62,0,0,8
63,0,0,2
63,0,0,3
63,0,1,4
63,0,2,6
63,0,0,6
63,0,0,8
64,0,0,2
64,0,0,3
64,0,0,4
64,0,1,6
64,0,0,6
64,0,0,8
65,0,0,2
65,0,0,3
65,0,0,4
65,0,0,6
65,0,0,6
65,0,3,8
66,0,0,2
66,0,0,3
66,0,0,4
66,0,1,6
66,0,0,6
66,0,1,8
67,0,0,2
67,0,0,3
67,0,0,4
67,0,0,6
67,0,4,6
67,0,5,8
68,0,1,2
68,0,1,3
68,0,0,4
68,0,0,6
68,0,0,6
68,0,0,8
69,0,3,2
69,0,1,3
69,0,1,4
69,0,2,6
69,0,0,6
69,0,0,8
70,0,1,2
70,0,4,3
70,0,0,4
70,0,1,6
70,0,1,6
70,0,2,8
71,0,0,2
71,0,0,3
71,0,0,4
71,0,0,6
71,0,1,6
71,0,1,8
72,0,0,2
72,0,1,3
72,0,0,4
72,0,1,6
72,0,2,6
72,0,0,8
73,0,0,2
73,0,0,3
